conf_num z qprop_value
0 0 (3.9170145026015766e-15-8.378096110330563e-05j)
0 1 (0.4074522024184335+0.0009803108969135793j)
0 2 (0.09941549107113107+0.0009157484089598903j)
0 3 (0.025351710587603632+0.0001377605144879592j)
0 4 (0.0071824219534004224-0.00024009862564774873j)
0 5 (0.0023052658310789586-0.00010238335064533201j)
0 6 (0.0008002167005173742-3.872698106560139e-05j)
0 7 (0.0003063035780436882-1.1220158521075546e-05j)
0 8 (0.00012266850731487667-4.839093298315195e-06j)
0 9 (5.071832831695646e-05-3.537437794018058e-06j)
0 10 (2.203146948647188e-05-1.7642651534867292e-06j)
0 11 (9.91168302019233e-06-9.66909562215108e-07j)
0 12 (4.649771337394269e-06-5.32247940595203e-07j)
0 13 (2.075649255524279e-06-2.0843449089046708e-07j)
0 14 (9.078684603419997e-07-5.9262580592981096e-08j)
0 15 (4.19356520596542e-07-1.8980902048804475e-08j)
0 16 (1.9366957500994322e-07-2.9255605025051373e-09j)
0 17 (9.280684295642642e-08-3.5750634090925804e-10j)
0 18 (4.542015765378474e-08+2.3068037830207604e-09j)
0 19 (2.3126304694318623e-08+1.2574450760337559e-09j)
0 20 (1.0349776754583516e-08+6.39486042040954e-10j)
0 21 (4.1223483832573795e-09+5.313322799362872e-10j)
0 22 (1.9079898273099094e-09+3.387036540188835e-10j)
0 23 (7.884269684260365e-10+1.9258449399527751e-10j)
0 24 (1.0414315077612298e-10+1.763965635575309e-10j)
0 25 (-6.512429054524686e-10+2.3697453213293223e-10j)
0 26 (-1.721559537620638e-09+5.182903636170897e-10j)
0 27 (-3.889249238453816e-09+4.958927357545337e-10j)
0 28 (-9.489426225029192e-09+5.745415329869496e-10j)
0 29 (-2.1540166971472185e-08+1.4256545420031009e-09j)
0 30 (-4.3785246814943366e-08+2.564604658625651e-10j)
0 31 (-9.296757810533131e-08+7.535025012311874e-09j)
0 32 (-1.9938429305870845e-07+1.313411722579227e-08j)
0 33 (-4.2846375152045644e-07+3.231084367433955e-08j)
0 34 (-9.101086107874439e-07+6.805472600735296e-08j)
0 35 (-1.971077807895402e-06+3.877837452455089e-08j)
0 36 (-4.302213767191446e-06-5.7923139022647983e-08j)
0 37 (-1.0004348612734196e-05-5.035947854228479e-07j)
0 38 (-2.3800018842257916e-05-7.101312297232061e-07j)
0 39 (-5.6953642540450366e-05-1.9755363532893706e-06j)
0 40 (-0.0001356719193624042-2.5591964398157176e-06j)
0 41 (-0.0003294214357814516-6.082792244056698e-06j)
0 42 (-0.000867561367316529-1.0933288108467813e-05j)
0 43 (-0.0024398584914508427-5.400337910678447e-05j)
0 44 (-0.007640327691551771-9.753710276731168e-05j)
0 45 (-0.02588003231280262-0.00010490154015415921j)
0 46 (-0.09917211481088081+0.00032122244275004173j)
0 47 (-0.40855802930896556+0.0003483427672479348j)
1 0 (1.4744136917914418e-14+3.7351622966446734e-05j)
1 1 (0.4140204360854246-0.0003265059358369675j)
1 2 (0.10160498989593474-1.3563684629771334e-05j)
1 3 (0.027024632188824758-3.454499154108327e-06j)
1 4 (0.0076101449636963294-4.1824165678174235e-05j)
1 5 (0.0023779843340287913-3.36372050524091e-05j)
1 6 (0.0008096826661970451-1.133694500834207e-05j)
1 7 (0.00029927655178543626-5.187432180206155e-06j)
1 8 (0.00011663562243801507-2.3495491604198236e-06j)
1 9 (4.896472214521576e-05-1.225756101434672e-06j)
1 10 (2.1264467882096048e-05-1.576605553193166e-07j)
1 11 (8.875824750192805e-06-1.3416600870354095e-07j)
1 12 (4.010045959512347e-06+5.0109271376817766e-08j)
1 13 (1.805521263527547e-06+1.6312832602456834e-07j)
1 14 (7.99968202207756e-07+1.0987592060097893e-07j)
1 15 (3.852410013176168e-07+6.555713994404813e-08j)
1 16 (1.823218427237004e-07+2.6250219111572507e-08j)
1 17 (8.774162075767268e-08+1.0626377889116618e-08j)
1 18 (4.1810205313912426e-08+3.349384630331781e-09j)
1 19 (2.0828496166191387e-08+1.8881594126900206e-09j)
1 20 (9.88712166057099e-09+4.696085765024277e-10j)
1 21 (4.592810642595669e-09+2.7804599910129934e-10j)
1 22 (2.060587575851784e-09+1.385091206261739e-10j)
1 23 (8.372587565248939e-10+1.324700543434522e-10j)
1 24 (1.8004883770346907e-10-9.987551413536143e-12j)
1 25 (-7.211657556743239e-10+1.0507692635067508e-11j)
1 26 (-1.9458280444336174e-09+1.50778188650693e-10j)
1 27 (-4.112131828117798e-09+4.679400467461013e-10j)
1 28 (-9.064122159922891e-09+1.0170579930173747e-09j)
1 29 (-2.014703352343826e-08+2.6945111197838156e-09j)
1 30 (-4.580190744691768e-08+6.2934624181171065e-09j)
1 31 (-9.500006206549763e-08+9.340871423098791e-09j)
1 32 (-1.9708922545233586e-07+8.247200659922519e-09j)
1 33 (-4.2772419050205694e-07+2.391071861197878e-08j)
1 34 (-9.512798995248619e-07+7.398913306295494e-08j)
1 35 (-2.100709036904026e-06+1.3336988020709924e-07j)
1 36 (-4.6935350003543486e-06+1.9150282407259481e-07j)
1 37 (-1.0424252209257116e-05+6.073175350772186e-07j)
1 38 (-2.3414405912078465e-05+1.3932277117299754e-06j)
1 39 (-5.2138683363250455e-05+3.815268034295936e-06j)
1 40 (-0.0001284243346398944+6.950493890884977e-06j)
1 41 (-0.00032444835801727936+1.4041158802942718e-05j)
1 42 (-0.0008542686270703335+2.113200982073842e-05j)
1 43 (-0.0024165774484851813-1.1552978490521499e-05j)
1 44 (-0.007656991308355405+1.4027106783048083e-05j)
1 45 (-0.026058252031718108+0.00016456310306374992j)
1 46 (-0.10112631440639551+0.0002715156978417632j)
1 47 (-0.4098205967888172+0.0009524841298340171j)
2 0 (-3.908376672363714e-15-0.00033235303626369134j)
2 1 (0.4153068866507758+0.0009538759217632635j)
2 2 (0.10495241184846224+2.778740374236831e-05j)
2 3 (0.027710831124934235-0.0002572181917170507j)
2 4 (0.008129007265538002-0.0001544864670188325j)
2 5 (0.002687129566331045-3.0096552727645792e-05j)
2 6 (0.0009218208199625572-1.5488970979221768e-05j)
